,Created,Price,CouponDiscount,Income
0,2022-01-31,48030660,182200,47848460
1,2022-02-28,9816977111,14868466,9802108645
2,2022-03-31,13687163662,15521188,13671642474
3,2022-04-30,15452403686,23159841,15429243845
4,2022-05-31,23543337879,50318960,23493018919
5,2022-06-30,23036205531,37265947,22998939584
6,2022-07-31,37141778703,42450620,37099328083
7,2022-08-31,55724996243,82203137,55642793106
8,2022-09-30,48321210172,76479535,48244730637
9,2022-10-31,46921887461,63847085,46858040376
10,2022-11-30,3631813742,3789698,3628024044
